counter,datetime,low,high,open,close,vol
2500,20181028 221104 8630000,2666.0,2669.5,2667.0,2667.5,4690
5000,20181028 222636 6210000,2667.0,2676.5,2667.5,2676.25,4472
7500,20181028 223553 9570000,2676.25,2681.5,2676.25,2679.0,4450
10000,20181028 225813 3630000,2676.5,2682.25,2679.0,2678.25,4178
12500,20181028 231422 7340000,2675.25,2680.5,2678.25,2678.0,4566
15000,20181028 234601 2180000,2675.0,2678.5,2677.75,2675.0,3308
17500,20181029 000000 1480000,2672.75,2677.5,2675.0,2673.75,4144
20000,20181029 000823 0660000,2673.0,2676.5,2674.0,2675.25,3462
22500,20181029 002141 6210000,2674.25,2676.75,2675.25,2675.25,3290
25000,20181029 003847 9140000,2675.0,2679.0,2675.25,2678.0,3845
27500,20181029 005728 2850000,2673.25,2678.25,2677.75,2674.0,3943
30000,20181029 011242 4570000,2671.25,2675.5,2674.0,2672.5,3655
32500,20181029 012639 0030000,2672.25,2675.0,2672.5,2673.5,3408
35000,20181029 013651 8120000,2670.0,2675.25,2673.5,2670.0,3979
37500,20181029 014455 4880000,2666.25,2671.5,2669.75,2669.25,4010
40000,20181029 020000 3780000,2667.5,2671.75,2669.25,2668.75,3880
42500,20181029 021009 2380000,2666.25,2670.5,2668.75,2666.25,5002
45000,20181029 021332 8750000,2662.25,2667.0,2666.25,2666.75,4527
47500,20181029 022631 5190000,2664.75,2668.5,2666.75,2665.75,3839
50000,20181029 023708 5150000,2663.0,2667.0,2665.5,2666.75,3579
52500,20181029 025640 1480000,2664.75,2668.75,2666.75,2667.75,3483
55000,20181029 032546 0850000,2666.0,2668.5,2667.75,2668.25,3394
57500,20181029 034319 8160000,2667.25,2671.5,2668.25,2667.75,3724
60000,20181029 042259 4290000,2666.25,2669.25,2667.75,2668.5,3182
62500,20181029 045403 1640000,2666.5,2670.25,2668.5,2667.5,4727
65000,20181029 051632 8280000,2664.5,2671.0,2667.5,2670.5,3291
67500,20181029 054058 3000000,2664.0,2670.75,2670.5,2664.75,3418
70000,20181029 055725 1790000,2661.5,2665.5,2664.75,2663.0,3884
72500,20181029 061631 0310000,2660.0,2663.25,2663.0,2660.0,4241
75000,20181029 064128 3080000,2660.0,2663.75,2660.0,2663.5,4769
77500,20181029 070457 2140000,2660.25,2665.75,2663.5,2665.75,4133
80000,20181029 072337 1010000,2664.0,2667.25,2665.75,2664.0,4144
82500,20181029 074250 6870000,2661.75,2665.5,2664.0,2664.75,4062
85000,20181029 075802 5110000,2662.75,2667.0,2664.75,2666.75,4251
87500,20181029 080627 6950000,2663.75,2668.0,2666.75,2667.75,3692
90000,20181029 081453 6990000,2667.75,2670.0,2667.75,2668.5,4121
92500,20181029 082424 3470000,2665.5,2668.5,2668.5,2666.25,4366
95000,20181029 082949 0500000,2662.5,2666.25,2666.25,2663.25,4706
97500,20181029 083906 4800000,2662.25,2665.25,2663.25,2664.75,4183
100000,20181029 085416 4800000,2664.0,2667.0,2664.75,2666.75,4246
102500,20181029 090511 1520000,2662.25,2667.0,2666.75,2663.25,3985
105000,20181029 091704 6750000,2662.75,2667.0,2663.25,2666.25,3898
107500,20181029 092539 4720000,2665.75,2669.5,2666.5,2669.25,4146
110000,20181029 093206 9680000,2668.5,2672.25,2669.25,2672.0,4798
112500,20181029 093842 6320000,2671.75,2675.0,2672.0,2674.75,4599
115000,20181029 094300 4210000,2674.75,2677.5,2674.75,2677.5,4480
117500,20181029 094804 9210000,2677.0,2679.25,2677.5,2679.0,4359
120000,20181029 095203 6600000,2677.5,2681.0,2679.0,2680.25,5169
122500,20181029 095827 7380000,2678.25,2681.25,2680.0,2680.75,4544
125000,20181029 100538 9600000,2678.5,2682.25,2680.75,2682.25,4116
127500,20181029 101030 0500000,2681.0,2683.5,2682.5,2681.5,4975
130000,20181029 101915 2810000,2679.25,2682.25,2681.5,2681.0,5006
132500,20181029 102719 9140000,2679.75,2683.0,2681.0,2683.0,5547
135000,20181029 103251 1250000,2681.75,2684.75,2683.0,2684.25,5064
137500,20181029 103559 7100000,2684.25,2687.5,2684.25,2686.5,4892
140000,20181029 104333 3350000,2686.25,2688.5,2686.5,2686.5,5199
142500,20181029 105045 5190000,2685.75,2689.0,2686.5,2689.0,5043
145000,20181029 105633 9410000,2687.5,2691.25,2689.0,2691.25,5306
147500,20181029 110139 6750000,2690.25,2692.25,2691.25,2690.5,4878
150000,20181029 110953 5420000,2689.5,2692.5,2690.5,2692.25,4290
152500,20181029 111601 2960000,2691.0,2694.0,2692.25,2694.0,4863
155000,20181029 112126 2730000,2694.0,2696.25,2694.0,2695.0,4738
157500,20181029 112523 1210000,2694.75,2698.5,2695.0,2698.5,6022
160000,20181029 112946 0190000,2698.5,2700.75,2698.5,2700.0,5965
162500,20181029 113619 8860000,2695.25,2700.25,2700.0,2696.0,5274
165000,20181029 114442 7180000,2693.0,2696.75,2695.75,2693.5,4660
167500,20181029 115240 0970000,2691.75,2695.5,2693.5,2695.0,4505
170000,20181029 120058 3240000,2690.75,2695.25,2695.0,2692.0,4685
172500,20181029 121145 5150000,2692.0,2697.0,2692.0,2695.75,4655
175000,20181029 121953 1910000,2694.75,2697.75,2695.75,2697.0,4977
177500,20181029 122702 4680000,2694.75,2697.75,2697.0,2695.25,6144
180000,20181029 123618 5820000,2694.5,2697.25,2695.25,2695.0,5407
182500,20181029 124318 7920000,2693.5,2696.0,2695.0,2695.25,4877
185000,20181029 124959 1170000,2694.25,2698.0,2695.25,2698.0,4812
187500,20181029 130002 2890000,2696.75,2698.25,2698.0,2697.75,4666
190000,20181029 130602 7340000,2695.0,2697.75,2697.75,2695.75,5463
192500,20181029 131345 9530000,2694.5,2696.75,2695.75,2695.0,5037
195000,20181029 132314 6950000,2694.5,2696.0,2695.0,2694.75,4528
197500,20181029 132906 8470000,2692.5,2695.0,2694.5,2692.75,6389
200000,20181029 133007 4330000,2692.0,2693.0,2692.75,2692.75,5722
202500,20181029 133037 3900000,2692.25,2693.75,2692.75,2693.75,6042
205000,20181029 133101 2690000,2693.75,2695.5,2693.75,2693.75,5637
207500,20181029 133134 8750000,2692.75,2694.75,2693.75,2693.25,6840
210000,20181029 133207 3120000,2691.25,2693.25,2693.25,2691.5,6102
212500,20181029 133244 2890000,2691.5,2693.0,2691.5,2692.25,5877
215000,20181029 133327 4060000,2691.25,2694.5,2692.25,2694.25,5444
217500,20181029 133343 4450000,2693.5,2696.25,2694.25,2696.25,6260
220000,20181029 133415 5740000,2694.5,2696.5,2696.25,2694.75,6410
222500,20181029 133447 1990000,2691.75,2694.75,2694.75,2692.75,5127
225000,20181029 133526 6990000,2692.0,2694.25,2692.75,2693.25,5345
227500,20181029 133612 8940000,2693.0,2695.25,2693.25,2695.0,4999
230000,20181029 133646 4210000,2695.0,2697.0,2695.0,2695.75,4647
232500,20181029 133736 0460000,2692.75,2696.0,2695.75,2693.0,4690
235000,20181029 133824 7960000,2691.25,2693.25,2693.0,2692.0,5016
237500,20181029 133911 3200000,2692.0,2696.0,2692.0,2695.25,5161
240000,20181029 133949 6670000,2691.25,2695.5,2695.25,2691.25,5170
242500,20181029 134021 5070000,2689.75,2692.5,2691.25,2692.25,4581
245000,20181029 134113 5420000,2691.0,2693.5,2692.5,2692.75,4550
247500,20181029 134211 5310000,2690.25,2693.75,2692.75,2690.5,4635
250000,20181029 134251 2610000,2688.5,2691.75,2690.5,2689.0,5302
252500,20181029 134326 6320000,2689.0,2691.0,2689.0,2690.0,5853
255000,20181029 134410 8000000,2689.0,2693.0,2690.0,2692.5,5017
257500,20181029 134510 0420000,2690.5,2692.75,2692.5,2690.75,5000
260000,20181029 134551 5660000,2689.5,2693.0,2690.75,2690.5,5201
262500,20181029 134653 0930000,2689.5,2692.0,2690.5,2691.5,4752
265000,20181029 134747 8780000,2691.25,2693.75,2691.5,2693.75,4575
267500,20181029 134824 5030000,2693.25,2695.5,2693.75,2695.0,5091
270000,20181029 134919 0850000,2694.75,2696.5,2695.0,2695.0,5025
272500,20181029 134956 3550000,2690.25,2695.0,2695.0,2691.0,4436
275000,20181029 135046 0000000,2689.25,2693.25,2691.0,2689.5,4586
277500,20181029 135130 9250000,2689.0,2691.0,2689.5,2689.5,5102
280000,20181029 135204 8000000,2687.0,2689.5,2689.5,2688.25,5070
282500,20181029 135307 9490000,2687.5,2690.25,2688.25,2688.0,4629
285000,20181029 135403 4880000,2688.0,2691.5,2688.0,2691.0,4980
287500,20181029 135512 0930000,2689.5,2691.5,2691.0,2689.75,5762
290000,20181029 135603 5660000,2689.5,2694.0,2689.75,2693.25,4656
292500,20181029 135709 9600000,2692.0,2694.75,2693.25,2693.75,4417
295000,20181029 135826 1710000,2692.75,2695.5,2693.75,2694.75,5155
297500,20181029 135944 4210000,2693.5,2695.5,2694.75,2695.0,5004
300000,20181029 140019 0740000,2694.5,2698.75,2695.0,2698.5,6017
302500,20181029 140107 9100000,2697.0,2699.0,2698.5,2699.0,5369
305000,20181029 140136 4720000,2699.0,2702.25,2699.0,2702.0,5751
307500,20181029 140204 7030000,2701.75,2703.25,2702.0,2702.25,5753
310000,20181029 140251 9170000,2701.5,2703.5,2702.25,2703.25,5215
312500,20181029 140328 0150000,2702.25,2704.25,2703.25,2703.5,5279
315000,20181029 140405 7340000,2703.25,2705.25,2703.5,2705.25,5868
317500,20181029 140429 6950000,2705.25,2707.0,2705.25,2706.0,5623
320000,20181029 140519 3390000,2705.0,2707.0,2705.75,2706.0,5440
322500,20181029 140623 5420000,2704.25,2706.5,2705.75,2705.0,5824
325000,20181029 140715 0190000,2704.0,2705.75,2705.0,2705.25,5677
327500,20181029 140808 8550000,2704.0,2706.5,2705.25,2704.25,5424
330000,20181029 140910 9060000,2703.0,2704.5,2704.25,2704.0,6516
332500,20181029 141019 9720000,2703.5,2705.5,2704.0,2705.0,5966
335000,20181029 141214 0110000,2703.5,2705.25,2704.75,2704.25,5885
337500,20181029 141308 0540000,2701.75,2704.25,2704.25,2702.5,5736
340000,20181029 141443 3320000,2701.25,2702.5,2702.5,2701.5,5757
342500,20181029 141629 7570000,2701.0,2703.25,2701.5,2702.75,5341
345000,20181029 141822 3280000,2702.75,2704.25,2703.0,2703.25,5206
347500,20181029 142005 0660000,2702.25,2703.75,2703.25,2702.5,6087
350000,20181029 142116 4060000,2701.5,2704.0,2702.5,2703.25,5617
352500,20181029 142255 5460000,2702.25,2704.0,2703.25,2702.5,6132
355000,20181029 142446 7340000,2702.0,2703.75,2702.5,2702.5,5790
357500,20181029 142641 5030000,2702.0,2705.0,2702.5,2704.5,5142
360000,20181029 142848 9410000,2703.0,2705.0,2704.5,2703.75,5172
362500,20181029 143041 0540000,2702.0,2704.25,2703.75,2703.25,5377
365000,20181029 143208 1950000,2701.75,2704.0,2703.25,2701.75,5800
367500,20181029 143251 1320000,2699.5,2702.0,2701.75,2702.0,5397
370000,20181029 143438 2220000,2700.75,2703.25,2702.0,2701.25,4574
372500,20181029 143542 5660000,2697.75,2701.5,2701.25,2697.75,4959
375000,20181029 143622 7570000,2695.25,2697.75,2697.75,2696.5,5092
377500,20181029 143759 2690000,2695.5,2697.5,2696.5,2695.5,5272
380000,20181029 143857 3900000,2693.25,2695.5,2695.5,2694.25,5462
382500,20181029 144003 4600000,2693.75,2696.0,2694.25,2695.0,6179
385000,20181029 144201 7380000,2693.75,2695.75,2695.0,2695.25,4935
387500,20181029 144354 7380000,2694.75,2696.75,2695.25,2695.75,4880
390000,20181029 144535 4060000,2693.0,2696.0,2695.75,2693.5,4967
392500,20181029 144658 7180000,2693.25,2697.25,2693.5,2697.0,5228
395000,20181029 144804 0660000,2691.25,2697.25,2697.0,2691.25,5016
397500,20181029 144841 8080000,2689.5,2691.5,2691.25,2690.5,5308
400000,20181029 145004 2070000,2690.0,2693.0,2690.5,2692.5,5109
402500,20181029 145050 1790000,2692.25,2695.5,2692.5,2695.0,6451
405000,20181029 145141 8510000,2694.25,2696.75,2695.0,2696.0,7082
407500,20181029 145326 0820000,2694.5,2698.25,2696.0,2698.0,5122
410000,20181029 145458 6210000,2696.0,2698.75,2698.0,2697.25,4429
412500,20181029 145532 1010000,2694.75,2698.75,2697.25,2694.75,5475
415000,20181029 145700 9570000,2694.25,2697.0,2694.75,2697.0,4972
417500,20181029 145909 0930000,2696.25,2698.25,2697.0,2696.25,4749
420000,20181029 150009 9640000,2693.75,2698.0,2696.25,2698.0,4593
422500,20181029 150113 3940000,2696.75,2698.75,2698.0,2698.0,4652
425000,20181029 150308 9450000,2694.75,2698.25,2698.0,2695.5,4966
427500,20181029 150512 0540000,2693.75,2696.5,2695.75,2694.5,4368
430000,20181029 150655 8390000,2694.5,2696.75,2694.5,2696.25,4813
432500,20181029 150826 1990000,2694.25,2698.25,2696.25,2694.25,5463
435000,20181029 150934 2690000,2692.25,2695.0,2694.25,2693.5,4929
437500,20181029 151054 1790000,2691.25,2693.75,2693.5,2691.5,4961
440000,20181029 151215 2420000,2690.5,2692.25,2691.5,2690.75,5785
442500,20181029 151255 5970000,2687.0,2691.0,2690.75,2687.25,5824
445000,20181029 151332 7340000,2686.25,2688.75,2687.25,2686.5,4969
447500,20181029 151419 5230000,2685.25,2686.5,2686.5,2686.0,6047
450000,20181029 151519 3040000,2685.25,2687.25,2686.0,2687.25,5901
452500,20181029 151618 5420000,2684.25,2687.5,2687.25,2685.75,5803
455000,20181029 151732 3900000,2684.75,2687.5,2685.75,2685.75,5010
457500,20181029 151855 3900000,2684.0,2686.0,2685.75,2684.0,5432
