counter,datetime,low,high,open,close,vol
30000,20181029 011242 4570000,2666.0,2682.25,2667.0,2672.5,48003
60000,20181029 042259 4290000,2662.25,2675.25,2672.5,2668.5,46007
90000,20181029 081453 6990000,2660.0,2671.0,2668.5,2668.5,48733
120000,20181029 095203 6600000,2662.25,2681.0,2668.5,2680.25,52935
150000,20181029 110953 5420000,2678.25,2692.5,2680.0,2692.25,58860
180000,20181029 123618 5820000,2690.75,2700.75,2692.25,2695.0,61895
210000,20181029 133207 3120000,2691.25,2698.25,2695.0,2691.5,66115
240000,20181029 133949 6670000,2691.25,2697.0,2691.5,2691.25,64146
270000,20181029 134919 0850000,2688.5,2696.5,2691.25,2695.0,59582
300000,20181029 140019 0740000,2687.0,2698.75,2695.0,2698.5,59814
330000,20181029 140910 9060000,2697.0,2707.0,2698.5,2704.0,67739
360000,20181029 142848 9410000,2701.0,2705.5,2704.0,2703.75,67831
390000,20181029 144535 4060000,2693.0,2704.25,2703.75,2693.5,62894
420000,20181029 150009 9640000,2689.5,2698.75,2693.5,2698.0,63534
450000,20181029 151519 3040000,2685.25,2698.75,2698.0,2687.25,62678
480000,20181029 153144 6090000,2682.5,2689.25,2687.25,2687.75,63745
510000,20181029 155457 0190000,2684.5,2694.25,2687.75,2686.0,59616
540000,20181029 160718 3630000,2674.0,2687.0,2686.0,2675.25,67459
570000,20181029 162051 2730000,2671.5,2678.25,2675.25,2672.75,71356
600000,20181029 163201 0660000,2666.25,2673.25,2672.75,2670.5,66934
630000,20181029 164919 3780000,2669.5,2680.5,2670.5,2678.5,65227
660000,20181029 170322 3940000,2667.5,2681.25,2678.5,2680.25,60671
690000,20181029 172031 4880000,2676.25,2683.5,2680.25,2677.5,65733
720000,20181029 173923 3820000,2672.25,2681.5,2677.5,2678.75,64022
750000,20181029 175402 7260000,2673.5,2683.25,2678.75,2681.0,69949
780000,20181029 181010 7380000,2667.75,2681.25,2681.0,2668.75,60927
810000,20181029 181612 5230000,2659.25,2669.75,2668.75,2659.25,67953
840000,20181029 182734 0780000,2656.25,2663.5,2659.25,2659.25,61085
870000,20181029 184209 8040000,2652.0,2661.25,2659.25,2659.25,61848
900000,20181029 185452 7960000,2647.0,2663.0,2659.25,2648.0,70668
930000,20181029 190509 3710000,2641.5,2654.0,2648.0,2643.5,67222
960000,20181029 191328 1250000,2631.5,2643.75,2643.5,2632.0,71700
990000,20181029 191959 8750000,2624.5,2635.5,2632.0,2634.25,75218
1020000,20181029 192813 7770000,2625.75,2636.25,2634.25,2628.75,68620
1050000,20181029 193527 2460000,2621.25,2633.0,2628.75,2625.0,66229
1080000,20181029 194220 9290000,2612.25,2625.75,2625.0,2612.75,67045
