counter,datetime,low,high,open,close,vol
1303,20181028 220259 8040000,0,2669.5,2667.0,2668.5,2501
2672,20181028 221256 7890000,2666.0,2669.25,2668.5,2667.75,2501
4168,20181028 222001 0350000,2667.75,2675.0,2667.75,2674.5,2503
5365,20181028 222650 8980000,2674.25,2679.25,2674.5,2679.0,2502
6794,20181028 223106 6250000,2678.25,2681.5,2679.0,2680.75,2501
8380,20181028 224558 8630000,2678.25,2682.25,2681.0,2681.5,2501
9820,20181028 225625 1520000,2676.5,2681.5,2681.5,2676.75,2502
11295,20181028 230718 4530000,2675.25,2678.75,2677.0,2678.0,2501
12610,20181028 231557 0580000,2677.25,2680.5,2678.0,2677.5,2501
14531,20181028 234103 3080000,2676.25,2678.5,2677.5,2677.0,2503
16007,20181028 235130 7260000,2674.75,2677.5,2677.0,2675.5,2501
17656,20181029 000106 0660000,2672.75,2675.75,2675.5,2673.75,2502
19473,20181029 000648 2340000,2673.0,2676.25,2673.75,2675.75,2501
21347,20181029 001325 3670000,2674.25,2676.75,2675.75,2674.5,2505
23063,20181029 002537 4100000,2674.5,2676.5,2674.5,2675.5,2501
24740,20181029 003740 1560000,2675.5,2679.0,2675.5,2678.5,2502
26275,20181029 005047 1440000,2676.25,2679.0,2678.5,2677.0,2502
27992,20181029 010037 6210000,2673.25,2677.5,2677.0,2673.5,2505
29765,20181029 011114 4370000,2671.25,2675.5,2673.5,2672.0,2501
31477,20181029 011919 6790000,2672.0,2674.5,2672.0,2673.5,2502
33203,20181029 013051 7770000,2672.5,2675.25,2673.5,2674.5,2501
34832,20181029 013637 7140000,2670.25,2674.5,2674.5,2670.75,2501
36252,20181029 014029 6480000,2668.25,2671.5,2670.75,2668.75,2502
37947,20181029 014701 6910000,2666.25,2671.0,2668.75,2670.25,2501
39578,20181029 015801 1560000,2667.5,2671.75,2670.25,2668.0,2508
41018,20181029 020427 3390000,2667.25,2670.5,2668.0,2669.5,2501
42130,20181029 020919 5890000,2667.25,2670.25,2669.25,2667.75,2505
43528,20181029 021030 9410000,2662.25,2667.75,2667.75,2664.75,2501
44838,20181029 021303 0350000,2664.75,2666.75,2664.75,2666.0,2501
46438,20181029 022310 5390000,2665.5,2668.5,2666.0,2665.5,2501
48122,20181029 022840 9680000,2663.5,2666.75,2665.5,2663.75,2501
49874,20181029 023617 6520000,2663.0,2666.75,2663.75,2666.5,2501
51692,20181029 025003 8750000,2664.75,2667.75,2666.5,2667.0,2501
53540,20181029 030814 0150000,2666.0,2668.75,2667.0,2666.75,2501
55310,20181029 032804 2810000,2666.0,2668.75,2667.0,2668.25,2501
56936,20181029 033733 0850000,2667.25,2671.5,2668.25,2669.25,2501
58865,20181029 040223 1130000,2666.25,2669.5,2669.25,2667.0,2502
60847,20181029 044200 2770000,2666.25,2669.5,2667.0,2669.5,2501
61931,20181029 044812 2420000,2668.25,2670.25,2669.75,2669.0,2512
63553,20181029 050525 1440000,2664.5,2669.0,2669.0,2665.25,2501
65433,20181029 052125 5500000,2665.25,2671.0,2665.25,2670.0,2501
67194,20181029 053807 6010000,2664.5,2670.25,2670.0,2664.5,2501
68983,20181029 055108 7100000,2661.75,2665.75,2664.5,2662.0,2501
70481,20181029 060017 7100000,2661.5,2663.5,2662.0,2661.5,2501
