counter,datetime,low,high,open,close,vol
3230,20181028 221458 3390000,0,2672.0,2667.0,2671.75,6001
6536,20181028 223014 7850000,2671.0,2681.5,2671.75,2680.5,6001
10154,20181028 230000 3470000,2676.5,2682.25,2680.5,2677.25,6001
13697,20181028 233158 6790000,2675.25,2680.5,2677.25,2677.0,6004
17649,20181029 000104 5030000,2672.75,2678.5,2677.0,2673.5,6001
22114,20181029 001900 8080000,2673.0,2676.75,2673.5,2675.25,6001
25988,20181029 004705 1640000,2674.5,2679.0,2675.25,2676.75,6001
30005,20181029 011246 8710000,2671.25,2678.0,2676.75,2672.25,6021
34164,20181029 013341 2610000,2670.25,2675.25,2672.25,2670.75,6003
37942,20181029 014701 0620000,2666.25,2672.25,2670.75,2670.25,6001
41542,20181029 020715 6990000,2667.25,2671.75,2670.25,2669.25,6004
44575,20181029 021228 8200000,2662.25,2669.5,2669.25,2665.5,6020
48474,20181029 022939 3590000,2663.0,2668.5,2665.5,2664.0,6001
52797,20181029 030031 7220000,2663.25,2668.75,2664.0,2667.5,6001
56933,20181029 033732 7650000,2666.0,2671.5,2667.5,2669.25,6001
61341,20181029 044511 2300000,2666.25,2670.25,2669.25,2669.25,6007
65036,20181029 051643 7300000,2664.5,2671.0,2669.25,2670.25,6001
69252,20181029 055236 8280000,2661.75,2670.75,2670.25,2662.5,6003
72773,20181029 061903 4060000,2660.0,2663.5,2662.5,2661.25,6001
76017,20181029 065556 2180000,2660.0,2663.75,2661.25,2662.5,6002
79660,20181029 072043 7530000,2660.25,2667.25,2662.5,2665.75,6001
83338,20181029 074808 1560000,2661.75,2666.5,2665.75,2664.5,6013
87127,20181029 080502 3200000,2663.75,2668.0,2664.5,2667.0,6001
90744,20181029 081606 8280000,2666.5,2670.0,2667.0,2667.0,6001
94193,20181029 082758 1990000,2662.5,2668.0,2667.0,2663.0,6001
97555,20181029 083911 6050000,2662.25,2665.25,2663.0,2664.75,6005
101235,20181029 090050 1520000,2664.0,2667.0,2664.75,2664.5,6002
104989,20181029 091701 0030000,2662.25,2667.0,2664.5,2666.5,6008
108579,20181029 092900 7100000,2665.75,2671.0,2666.5,2670.75,6001
111716,20181029 093717 7220000,2670.0,2674.0,2670.75,2673.75,6001
114971,20181029 094254 7100000,2673.5,2677.5,2673.75,2677.25,6001
118357,20181029 094936 6210000,2677.0,2679.5,2677.25,2678.75,6001
121363,20181029 095455 5150000,2678.25,2681.0,2678.75,2680.25,6001
124886,20181029 100534 5620000,2678.5,2682.0,2680.25,2682.0,6010
128005,20181029 101216 2220000,2680.5,2683.5,2682.0,2680.75,6002
130767,20181029 102113 0030000,2679.25,2681.75,2680.75,2680.5,6004
133701,20181029 103011 9640000,2680.0,2683.5,2680.5,2682.0,6008
136563,20181029 103458 6870000,2681.75,2687.25,2682.0,2687.25,6003
139499,20181029 104114 5230000,2685.5,2688.5,2687.25,2687.0,6001
142552,20181029 105047 0660000,2685.75,2689.25,2687.0,2689.0,6001
145461,20181029 105741 8590000,2687.5,2691.5,2689.0,2690.75,6001
148517,20181029 110443 3120000,2689.5,2692.25,2690.75,2691.0,6001
151989,20181029 111510 8820000,2690.0,2693.5,2691.0,2692.25,6006
155008,20181029 112126 2730000,2692.25,2696.25,2692.25,2695.0,6027
157511,20181029 112523 4330000,2694.75,2698.5,2695.0,2698.5,6001
160023,20181029 112946 9060000,2698.5,2700.75,2698.5,2700.0,6002
162943,20181029 113728 3040000,2695.25,2700.25,2700.0,2696.5,6009
166176,20181029 114835 6480000,2691.75,2696.5,2696.5,2693.0,6004
169415,20181029 115927 4330000,2690.75,2695.5,2693.0,2692.0,6001
172631,20181029 121145 8550000,2691.25,2697.0,2692.0,2695.75,6001
175639,20181029 122141 3280000,2694.75,2697.75,2695.75,2696.5,6001
177948,20181029 122920 7180000,2694.75,2697.25,2696.5,2696.5,6004
180662,20181029 123707 4760000,2693.5,2697.25,2696.5,2694.0,6002
184024,20181029 124650 8200000,2694.0,2696.75,2694.0,2696.75,6006
187260,20181029 125845 8160000,2696.0,2698.25,2696.75,2697.5,6165
190059,20181029 130619 3780000,2695.0,2697.75,2697.5,2695.75,6001
193122,20181029 131558 4370000,2694.5,2696.75,2695.75,2695.25,6001
195990,20181029 132626 3080000,2693.5,2696.0,2695.25,2693.75,6016
198449,20181029 133000 0350000,2692.25,2694.0,2693.75,2692.75,6001
201048,20181029 133015 9370000,2692.0,2693.25,2692.75,2692.5,6001
203516,20181029 133041 4640000,2692.25,2695.25,2692.75,2694.75,6002
206097,20181029 133115 6090000,2693.0,2695.5,2694.75,2693.25,6001
208221,20181029 133143 9210000,2692.5,2694.25,2693.25,2692.75,6002
210816,20181029 133217 3550000,2691.25,2693.25,2692.75,2692.25,6010
213333,20181029 133302 6670000,2691.25,2692.75,2692.5,2692.25,6001
215995,20181029 133336 1870000,2692.0,2695.5,2692.25,2695.5,6001
218312,20181029 133350 1400000,2694.75,2696.5,2695.5,2695.75,6006
221066,20181029 133427 4570000,2692.5,2696.5,2695.75,2693.0,6001
223773,20181029 133508 0460000,2691.75,2693.75,2693.0,2693.75,6001
226662,20181029 133559 1640000,2692.25,2694.75,2693.75,2694.5,6001
229866,20181029 133644 3000000,2694.0,2697.0,2694.5,2696.0,6004
232960,20181029 133740 6360000,2692.0,2696.25,2696.0,2692.25,6001
236017,20181029 133841 9680000,2691.25,2694.5,2692.25,2694.5,6001
238739,20181029 133931 3710000,2693.75,2696.0,2694.5,2694.5,6001
241994,20181029 134011 3000000,2689.75,2694.5,2694.5,2691.75,6001
245348,20181029 134123 5700000,2691.0,2693.5,2691.75,2693.0,6003
248336,20181029 134231 9490000,2690.25,2693.75,2693.0,2690.75,6001
251234,20181029 134308 6750000,2688.5,2691.0,2690.75,2690.5,6002
254002,20181029 134400 0230000,2689.0,2691.25,2690.5,2690.25,6001
256991,20181029 134503 6130000,2690.25,2693.0,2690.25,2692.25,6006
259756,20181029 134541 7530000,2689.5,2693.0,2692.0,2691.25,6001
262979,20181029 134707 8750000,2689.5,2692.5,2691.25,2692.0,6001
266121,20181029 134807 6280000,2692.0,2695.5,2692.0,2695.25,6004
269135,20181029 134904 0540000,2694.0,2696.25,2695.25,2696.0,6001
272351,20181029 134952 2180000,2690.25,2696.5,2696.0,2690.5,6001
275668,20181029 135058 8240000,2689.25,2693.25,2690.5,2689.25,6001
278474,20181029 135139 8630000,2687.25,2691.0,2689.25,2687.25,6001
281648,20181029 135249 4960000,2687.0,2690.25,2687.25,2689.0,6003
284705,20181029 135356 5230000,2687.5,2691.25,2689.0,2690.75,6001
287377,20181029 135510 4450000,2689.5,2691.5,2690.75,2689.5,6001
290563,20181029 135614 0660000,2689.5,2694.0,2689.5,2692.25,6001
293792,20181029 135801 4920000,2692.25,2694.75,2692.25,2694.75,6013
296668,20181029 135913 6990000,2693.75,2695.5,2694.75,2693.75,6002
299231,20181029 140010 7260000,2693.5,2697.75,2693.75,2697.75,6002
302133,20181029 140100 1710000,2697.0,2699.0,2697.75,2698.5,6006
304668,20181029 140134 3780000,2698.25,2702.0,2698.5,2702.0,6008
307269,20181029 140200 0350000,2701.75,2703.25,2702.0,2702.25,6004
310128,20181029 140253 6950000,2701.5,2703.75,2702.25,2703.75,6002
312951,20181029 140329 4840000,2702.25,2704.5,2703.75,2704.5,6007
315508,20181029 140410 9600000,2703.75,2705.75,2704.5,2705.5,6003
318219,20181029 140441 9530000,2705.5,2707.0,2705.5,2706.5,6002
320758,20181029 140540 1050000,2705.0,2706.75,2706.5,2706.25,6007
323495,20181029 140645 7140000,2704.0,2706.5,2706.25,2704.75,6001
326124,20181029 140736 1280000,2704.5,2706.5,2704.75,2705.75,6002
328825,20181029 140829 3430000,2703.0,2706.25,2705.75,2704.0,6003
331101,20181029 140946 8160000,2703.25,2704.5,2704.0,2704.25,6002
333629,20181029 141109 2500000,2704.25,2705.5,2704.25,2705.0,6001
336342,20181029 141241 9530000,2702.0,2705.0,2705.0,2702.0,6014
338860,20181029 141350 9100000,2701.25,2703.0,2702.0,2701.5,6001
341593,20181029 141552 4960000,2701.25,2703.25,2701.5,2701.25,6001
344481,20181029 141754 8590000,2701.0,2704.25,2701.25,2703.0,6001
346906,20181029 141942 9570000,2702.25,2703.75,2703.0,2703.5,6001
349604,20181029 142106 6440000,2701.5,2703.75,2703.5,2703.0,6003
352121,20181029 142238 3280000,2702.25,2704.0,2703.0,2703.25,6003
354648,20181029 142430 6210000,2702.0,2703.75,2703.25,2702.75,6003
357533,20181029 142642 5190000,2702.0,2705.0,2702.75,2705.0,6001
360453,20181029 142912 5070000,2703.0,2705.0,2705.0,2703.75,6001
363103,20181029 143105 0230000,2702.0,2704.0,2703.75,2703.5,6019
365740,20181029 143217 0460000,2700.25,2704.0,2703.5,2700.5,6001
368773,20181029 143346 5310000,2699.5,2703.25,2700.25,2702.5,6001
372172,20181029 143536 9170000,2697.75,2702.75,2702.5,2698.0,6001
374889,20181029 143622 2610000,2695.25,2698.75,2698.0,2696.5,6007
377705,20181029 143759 6830000,2695.0,2697.5,2696.5,2695.0,6002
380413,20181029 143906 2070000,2693.25,2695.25,2695.0,2694.25,6001
382894,20181029 144025 3630000,2694.0,2696.0,2694.25,2695.5,6001
385957,20181029 144250 1440000,2693.75,2696.0,2695.5,2695.75,6001
389014,20181029 144504 2340000,2693.75,2696.75,2695.75,2695.25,6001
391968,20181029 144652 3510000,2693.0,2696.5,2695.25,2696.25,6002
394871,20181029 144802 8320000,2691.75,2697.25,2696.25,2692.25,6001
397738,20181029 144850 2140000,2689.5,2692.25,2692.25,2690.75,6001
400520,20181029 145013 8320000,2690.25,2693.5,2690.75,2693.5,6001
